Chemin du fichier, Nom du paquet, Nom de la classe, tloc de la classe, tassert de la classe, tcmp de la classe = tloc / tassert
../../jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, DynamicDriveToolTipTagFragmentGeneratorTest, 16, 1, 16.0
../../jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, StandardURLTagFragmentGeneratorTest, 15, 1, 15.0
../../jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, OverLIBToolTipTagFragmentGeneratorTest, 16, 1, 16.0
../../jfreechart-master/src/test/java/org/jfree/chart/StackedBarChartTest.java, org.jfree.chart, StackedBarChartTest, 90, 6, 15.0
../../jfreechart-master/src/test/java/org/jfree/chart/XYLineChartTest.java, org.jfree.chart, XYLineChartTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java, org.jfree.chart.plot, CombinedRangeXYPlotTest, 156, 9, 17.333334
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java, org.jfree.chart.plot, CombinedDomainXYPlotTest, 162, 10, 16.2
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java, org.jfree.chart.plot, CombinedRangeCategoryPlotTest, 160, 8, 20.0
../../jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java, org.jfree.chart.plot, CombinedDomainCategoryPlotTest, 160, 9, 17.777779
../../jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java, org.jfree.chart, GanttChartTest, 171, 4, 42.75
../../jfreechart-master/src/test/java/org/jfree/chart/XYBarChartTest.java, org.jfree.chart, XYBarChartTest, 85, 5, 17.0
../../jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest.java, org.jfree.chart, XYStepChartTest, 91, 5, 18.2
../../jfreechart-master/src/test/java/org/jfree/chart/PieChartTest.java, org.jfree.chart, PieChartTest, 36, 2, 18.0
../../jfreechart-master/src/test/java/org/jfree/chart/internal/SerialUtilsTest.java, org.jfree.chart.internal, SerialUtilsTest, 72, 3, 24.0
../../jfreechart-master/src/test/java/org/jfree/chart/AreaChartTest.java, org.jfree.chart, AreaChartTest, 94, 6, 15.666667
../../jfreechart-master/src/test/java/org/jfree/chart/WaterfallChartTest.java, org.jfree.chart, WaterfallChartTest, 65, 3, 21.666666
../../jfreechart-master/src/test/java/org/jfree/chart/ScatterPlotTest.java, org.jfree.chart, ScatterPlotTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/XYAreaChartTest.java, org.jfree.chart, XYAreaChartTest, 81, 5, 16.2
../../jfreechart-master/src/test/java/org/jfree/chart/BarChartTest.java, org.jfree.chart, BarChartTest, 91, 6, 15.166667
../../jfreechart-master/src/test/java/org/jfree/chart/TimeSeriesChartTest.java, org.jfree.chart, TimeSeriesChartTest, 82, 5, 16.4
../../jfreechart-master/src/test/java/org/jfree/chart/LineChartTest.java, org.jfree.chart, LineChartTest, 87, 5, 17.4
../../jfreechart-master/src/test/java/org/jfree/chart/XYStepAreaChartTest.java, org.jfree.chart, XYStepAreaChartTest, 81, 5, 16.2
